name,Batch-B-01,Batch-B-02,Batch-B-03,Batch-B-04,Batch-B-05,Batch-B-06,Batch-B-07,Batch-B-08,Batch-B-09,Batch-B-10,Batch-B-11,Batch-B-12,Batch-B-13,Batch-B-14,Batch-B-15,mz,rt
B_40,99253.94087,145183.4945,206095.3082,161554.9025,147071.5632,255630.1298,379633.3739,116649.696,125576.9484,57640.10617,233455.1489,174021.4253,172884.5401,245552.307,68940.70324,114.0664416,30.44299984
B_41,3105.192576,3640.066116,4983.12604,3398.934212,3668.046269,3635.99148,3557.237385,3712.712873,3043.963773,3112.836067,4417.471935,5596.470357,3183.533972,5064.574433,2859.129704,114.9681064,578.828996
B_42,7804.334409,11837.07452,16595.91658,11490.57992,11894.49293,18384.66265,27604.97917,8418.663994,8809.146402,3664.664554,17302.28323,13653.11414,11685.81924,17141.57767,7402.614051,115.0639814,30.12500059
B_43,4876.659725,14400.81954,15575.81423,7482.530172,7650.56357,15749.00963,15141.83559,8130.440516,7216.214465,4568.129185,4454.277351,3483.488279,3414.375305,6762.784281,2964.260841,116.0950144,37.0939992
B_44,956.5237112,1758.744613,4974.23222,1747.307065,2072.87848,3655.710035,1707.607948,874.4126831,1167.301386,748.9302687,1798.886556,1929.353004,201.1324953,1676.526552,473.2700416,118.0869153,99.47499777
B_45,15853.83423,63669.84581,86864.2317,53386.35643,36274.97698,88132.92338,83612.18114,31627.21596,30301.65241,26618.69971,55954.37385,38322.49678,13251.09529,32352.80568,5990.18384,120.0781011,103.959998
B_46,7031.481914,35624.90289,89033.68748,28650.47053,42748.50382,29589.72057,98436.85902,11072.51498,16525.61089,24883.75519,24397.1686,16165.76201,7276.798654,11911.63581,37787.99699,121.0297646,125.9855013
B_47,824.9303098,4119.344979,9863.235404,3529.838322,4424.111208,3284.669646,10707.80909,1564.526546,1430.759777,2533.015936,2156.251431,1976.106165,841.9132386,367.522539,3270.429913,122.0321617,131.4409973
B_48,932.1925716,7291.391157,4062.083157,3215.53377,3320.946669,10048.6997,2845.011566,5008.68052,831.0694877,1208.963345,1819.25369,1070.603115,838.3035747,892.0790509,1085.933903,122.0871901,49.02350032
B_49,342.0354226,9075.541633,6502.538882,1853.507638,8175.324763,11864.44089,11248.96788,10051.0147,502.0565453,2942.072151,2034.995444,654.2081301,710.9386344,302.8454307,1414.890276,124.0399459,107.9450026
B_50,1565.330333,5536.527426,13020.05809,4823.060201,5397.967305,6051.99387,3626.111966,4254.640556,3204.647417,1008.784738,3622.512953,2573.817444,1949.954079,6196.226631,746.6023108,125.0961281,276.7230045
B_51,19158.35619,20311.83832,17650.74469,17307.61983,20253.62147,19471.00921,24558.66498,23237.26063,22088.68979,21375.0867,17679.80168,15594.17119,16425.15983,17434.58716,16660.6504,125.9876226,575.4189932
B_52,1201.441284,1645.403087,4337.688914,2741.721392,2631.068256,4314.916692,1853.860715,1008.061496,2173.389563,1135.489705,1601.192102,1999.796117,1207.156762,2320.387542,761.715731,127.0706712,147.4830021
B_53,983.3306582,1499.085891,3081.458979,2113.121159,2557.821044,1735.607879,2202.406748,1074.077724,633.8424587,1452.09885,1405.25924,1126.537666,574.8992838,2060.18545,1091.378074,128.0587535,29.43750026
B_54,784.2832609,771.7285537,2913.074311,968.7136136,1402.137814,2250.522684,524.641973,568.7730038,1161.188154,413.7101159,392.5651782,1024.783861,355.1554263,826.5411487,221.8945149,128.1033743,197.070001
B_55,2684.134821,3213.075981,12610.51493,4443.993657,5387.972135,9522.165282,7714.747905,4656.48761,4917.433994,2731.218485,3755.976165,4225.31242,471.2892562,2897.512083,801.8477912,129.0559258,130.3019958
B_56,8719.911754,2290.152183,4029.469641,3127.693173,2886.0917,5807.302246,3442.456419,2216.137784,2292.605729,1755.262414,2573.006128,2716.455446,1574.636932,4391.432532,925.4211281,129.0746452,30.85799941
B_57,10792.39001,14469.02644,10348.41167,11321.61664,13026.53469,15061.1081,10314.84914,10302.11702,11812.36429,10525.35223,12179.29118,12534.1352,8213.097553,10600.57648,9802.383275,130.9676505,581.9885032
B_58,1239.98878,5404.659983,13476.47465,19018.93047,1682.57884,7465.314881,908.9153132,1326.079527,920.8941729,1069.933122,5180.094104,4122.485052,2922.387237,2847.372116,776.8966188,131.047655,253.8434948
B_59,960.4877222,978.8701308,738.8692414,772.6411215,1030.001261,1003.552792,895.6828698,890.9641744,1125.785817,910.7098322,800.8267729,967.1211572,812.789364,621.121985,756.4557242,132.9634009,579.4325008
B_60,7987.262192,25017.79911,21342.67044,33860.80656,16050.24903,17758.983,10846.00371,9338.255429,10265.88171,6060.056827,10768.64394,17889.12035,10976.40863,3895.185552,2796.728324,136.0552339,30.75499949
B_61,1463.297027,3450.428088,9541.256257,3514.517089,2780.706753,4797.58378,6024.601011,2773.767772,2046.10628,1010.629962,4713.787482,2086.818453,699.3852484,2138.238526,563.8494854,137.0481734,114.2904973
B_62,2840.616637,19604.32343,13084.91979,4710.108598,9569.865956,43778.55272,6060.090342,23996.63385,5552.171158,3978.977012,5892.156606,27558.97155,693.355885,16932.33597,6059.703865,138.055957,30.84099936
B_63,9503.98722,8040.294336,12879.9495,6021.001048,5525.963252,10236.54826,9455.551494,6017.646317,6135.593475,2924.487193,6096.712333,4963.883708,1617.930144,4683.857089,2325.526063,139.0259357,38.36599952
B_64,949.2609433,1409.236421,1708.110269,2628.464856,214.7478451,1511.282616,1498.461745,400.2685067,386.514742,2093.289609,527.3147289,1293.745359,455.65109,506.2640759,158.7900394,140.0691302,29.12300076
B_65,1410.820908,1695.351521,4403.595464,3203.731244,4267.348397,3826.593106,734.2337377,1717.304244,407.1164531,708.1347951,623.7589685,843.0597739,420.3906915,182.5809543,298.6796344,140.074557,75.77500092
B_66,659.0504146,2255.124104,2996.374126,2824.811991,1381.397185,1607.141864,3609.456022,1296.006765,632.6307331,402.3457076,1443.760398,1506.758754,704.6094693,1012.825431,348.8175092,143.0967387,135.5320006
B_67,21457.49554,18150.07071,14850.88624,27544.99162,29780.48751,20816.91934,19508.46675,19613.74251,27168.49937,21298.38382,27927.17934,82520.89846,41188.50636,49587.54289,37848.61806,144.9842429,568.4299799
B_68,3859.505311,19526.60011,18609.80388,18423.58718,9255.89315,26183.01485,8454.27102,5724.394609,5300.229854,3315.291177,9149.713668,11174.42486,3948.271558,4974.98044,909.5607469,146.0604817,145.904994
B_69,9616.069591,8357.861594,6021.449953,12864.20992,12657.06604,9349.617681,8950.50498,8439.948023,12292.69366,9506.314471,13509.46878,38879.71078,17814.63573,23534.17631,18171.4438,146.9832608,568.1229732
B_70,1150.537168,992.3043218,1091.356607,1057.473554,1376.006163,1067.913189,1305.537276,1842.853383,1687.299144,1100.119084,1186.058634,2357.078513,1463.654184,2003.442349,1727.65507,147.9961995,570.0689949
B_71,1284.109342,6971.312063,29280.52287,4785.147228,9773.284043,6900.37451,3116.348989,7746.672607,1723.236433,1730.593758,3568.535481,1927.789863,1350.950733,1871.776182,880.1838609,149.1072783,284.8714942
B_72,3307.955937,2518.954076,6585.38496,7608.452351,2345.888937,5726.894474,6194.271894,4150.868089,1874.201507,2450.819067,3602.059563,1922.12465,1436.738773,7412.421068,957.5115211,151.0791347,292.4175057
B_73,1946.015361,1534.395121,2035.588018,2205.25681,2337.24913,1833.559169,1580.15756,1915.50535,1987.481391,1957.538284,2298.591019,2953.988286,2963.656715,3302.849709,3244.608415,154.9885391,577.563004
B_74,768.7682273,1217.158468,7255.551073,2216.213524,2166.630521,1452.08321,4038.467635,659.944466,380.5559952,659.9194364,446.1311672,730.5825647,522.8531983,3015.180335,566.9387001,155.078075,68.82000004
B_75,880.3760855,926.3754845,1345.309119,1128.004754,1093.507818,1037.185027,825.5586544,1187.518347,886.7412376,904.9233362,1113.914828,1356.89567,1185.113015,1418.044594,1046.925134,155.9806165,578.7889974
B_76,1497.622137,8128.662007,6058.769787,4546.032649,5928.481204,7570.118863,2741.093343,1625.880587,2273.16062,2613.883913,2176.661968,4155.107099,1033.104448,2234.392554,671.2855863,156.0723331,31.90850003
B_77,978.8832667,1492.450324,2273.38597,1217.308259,1641.495752,1514.072552,421.937276,515.4662224,1082.720303,222.3507356,373.115705,1098.074337,750.208871,1141.792181,238.0294571,156.1300832,313.0149966
B_78,1054.128055,5087.082351,1632.320364,2589.214571,1187.799237,2533.936755,1834.02432,1871.399187,996.8417864,335.3434335,3534.909699,2031.446731,1053.543525,1034.302764,613.8730417,157.0681503,34.3289996
B_79,487.7721629,1457.282081,4802.635641,20520.47763,1121.480278,969.8715295,461.7739667,575.6864646,1004.664508,3196.815639,532.8318976,350.6729408,454.5733788,288.8872299,360.11286,157.084,126.4340015
B_80,868.7073388,3803.927488,3157.054393,2832.187713,1347.847205,5236.733212,731.1242993,1106.155352,1101.855041,841.1135575,1053.984535,2836.123502,566.5520158,684.191483,143.4644264,159.0938847,143.720995
B_81,3067.630905,12960.44861,50840.09845,18443.30635,16869.9251,5996.098951,11825.57878,5376.36219,9328.428703,4555.204029,3120.190356,7704.043091,1879.473555,14047.46439,7038.975943,160.1149893,35.54800013
B_82,1024.288971,2469.068504,5835.252053,781.9441756,1991.596342,2482.468475,13591.53796,1761.544289,1020.760118,1186.806988,2363.384094,788.2598723,937.1497922,782.6576868,2013.016988,163.0463199,151.1400039
B_83,748.1293557,1164.054654,1710.236231,2223.912565,1300.262334,1394.297486,741.0876064,1160.595298,470.8385221,976.6608952,2253.791503,2124.082747,670.5933342,1613.029613,643.1480314,164.0004876,573.2070018
B_84,2701.383565,13728.25788,11322.15781,17434.93247,2663.825918,10098.17302,3080.388385,4825.482827,8234.507022,4775.890658,5462.127375,10540.82728,4559.251222,1834.740602,401.3460853,165.0548,49.06799878
B_85,44936.18321,48831.86018,57244.67768,52146.22207,65146.87434,67047.09651,120247.9115,78005.32547,3753.892494,2795.716805,77715.27707,45558.3928,9633.30056,37121.96787,1598.838574,167.0575222,91.05399702
B_86,12807.42685,15145.81398,25700.87053,16128.91956,19098.55527,17098.36308,30906.33293,14137.77476,9489.291207,9920.825611,18204.70238,10356.96516,7023.662103,17189.30406,6128.082499,168.062887,66.60799998
B_87,14189.06186,16578.5386,32726.33786,17034.28548,12881.87351,19737.22907,18871.45192,17585.43526,10287.54948,7202.554605,11917.63451,9837.879951,8901.420003,7830.668793,4398.525244,169.0381448,37.39450043
B_88,1760.5516,2570.383988,9195.820136,4057.63386,2667.258924,7724.412242,6275.932283,3049.315756,1563.881933,820.6010436,1670.694976,2230.637265,693.4663219,2473.058859,382.755792,169.0861729,106.324
B_89,12384.06355,2143.778631,29636.95819,30950.24367,7279.615651,9130.192234,15091.23869,9580.995839,9348.984352,2053.279609,1441.23868,3459.511094,3038.655733,6471.679706,2214.465773,170.0611127,253.085995
B_90,290.9952986,5724.381139,2984.375156,1433.958817,4849.225018,6722.967511,7931.930457,6147.4355,1103.840332,2653.373692,2490.247381,393.177482,490.404317,271.8255211,1431.417828,170.0437769,109.0820017
B_91,566.1265793,2404.689477,4720.525495,1578.787728,1406.16944,886.3532654,7480.021814,906.5508352,682.5691179,654.96554,944.7339888,589.5435996,653.9668901,1446.260461,562.1523685,172.0973283,87.72699911
B_92,6658.657,42713.84439,105782.1545,63844.33392,24680.43004,3649.319962,54578.19388,3314.296717,5014.68437,10884.11956,10257.42007,6568.63094,2182.842524,28104.35306,42677.97592,174.1244981,68.79499838
B_93,1738.30469,9461.395612,11753.5817,5295.021234,12388.59771,15978.62926,5738.032675,6168.43974,3024.09858,1183.639032,7932.35754,3754.142405,400.1269989,1361.695692,1505.562085,175.1210797,135.1930028
B_94,12012.34339,18863.06689,41085.0954,23882.34717,26142.87152,18873.63007,12167.75785,7129.63704,8602.573954,17984.01474,13759.10131,8485.587,12262.9294,16776.3584,12921.4959,180.0658871,168.5460026
B_95,70034.84844,81750.02748,46961.16696,27961.11951,28310.14628,39575.44077,144092.2825,93356.61273,13787.00027,7402.922041,20293.50478,35389.44784,13834.12152,21503.42669,12560.02098,181.0694084,142.1870016
B_96,9162.75616,21002.59672,16734.39364,30606.28736,16092.92793,21559.87039,19948.36934,8196.00749,5712.173102,7998.416036,14552.54696,7170.068408,6071.391354,15415.83431,3910.515883,182.0770325,51.235
B_97,1494.315254,2316.064806,4915.453362,1119.274215,5472.077396,4456.268162,2910.639182,1357.270229,1635.031077,1489.122919,2075.466639,1306.305711,1193.134762,1450.427921,1356.182829,182.9518791,23.37600044
B_98,13577.17116,21418.09778,8559.276438,14752.14525,6230.624783,9844.712937,40271.63026,21470.31105,2272.875896,1783.704663,29692.56972,9364.376929,9986.319671,6843.196132,2022.699645,183.0528739,78.39699831
B_99,24467.62356,111501.3029,92503.41718,71895.13577,41298.12227,137210.9221,22883.60483,35601.9438,36280.66637,22643.40611,27331.59038,70500.4798,22123.76005,23636.72268,3544.39916,188.0711417,143.7160039
B_100,3402.010779,15710.00883,11553.50751,12683.05206,6213.687415,19723.13134,3829.808064,5269.287349,5503.223264,3013.435285,4012.254031,10284.62777,2872.054564,3668.050273,470.6903321,189.0740605,143.6810001
B_101,655.7594445,809.8010328,520.9925614,1641.666122,1494.00157,1468.51663,2143.368876,2419.707934,1432.936635,524.6825982,1464.841054,1770.172141,127.5932358,343.1769141,67.5524803,189.0379486,92.3285003
B_102,271.6378239,14534.69747,7187.762475,5032.3747,19249.90923,21879.72073,20675.13374,17900.02911,1303.920746,4491.604891,4849.919258,2496.257455,322.2818596,911.8216495,1724.837423,192.0318166,106.4880031
B_103,398.5307146,552.0033724,415.7450245,381.1573108,439.7141313,650.5660333,617.7806176,558.2464532,550.6520988,305.7495752,398.6994309,340.9230169,207.8341383,208.6856978,203.5060645,192.931151,580.0259988
B_104,121.9915099,1147.530841,791.655574,9954.055621,1870.130432,2255.092168,1982.622609,1793.852381,186.7047999,1312.481524,443.1371898,160.0382935,76.76108558,68.99695724,213.1058352,193.0344897,109.0439999
B_105,1610.132786,2950.006374,5706.146637,4151.999055,4936.101025,2264.930757,2064.360863,1152.522919,1284.911314,3797.882919,1181.845635,1486.958321,883.852705,2162.85555,2826.832617,193.0842208,280.3860072
B_106,501.7210693,802.2507833,1053.809875,608.7343808,708.9532695,848.7498481,747.9461414,790.9495594,556.4312558,581.5015033,640.1537001,642.9542791,340.3502083,384.6772709,358.35635,197.9163474,577.8105256
B_107,2288.548832,7163.380549,8075.385825,3378.342985,4761.354289,6124.720293,3849.330189,4452.044349,1041.593843,1185.163627,2998.006493,1648.24458,2560.458664,2477.453081,2037.401911,199.1055152,102.3845025
B_108,865.1232415,1353.321615,3007.784244,2025.693482,1353.564965,2504.231512,1709.637299,997.8151506,1102.648357,458.6305049,885.3530646,2046.116125,293.5951581,558.7867776,517.5021189,199.9621793,23.62850031
B_109,2209.254612,2286.031805,8349.729745,4722.94295,4277.699776,1469.763385,8654.296788,2319.28687,2391.73868,1352.880528,2515.29884,1546.072895,660.4998741,2870.703161,2202.778979,200.079051,115.8339999
B_110,327.610739,1727.026364,3853.956297,438.4533936,826.330891,2795.759366,321.0353984,3112.934165,147.4237212,415.1140288,160.7731162,361.3221318,127.4789867,534.6029246,253.1939111,200.1030954,196.156003
B_111,1003.956588,970.4099853,884.4919386,386.325124,2649.583129,1520.593721,1797.676217,889.7682773,999.4679621,744.5945223,664.8844609,1077.442823,445.4931023,569.9971647,872.7140778,200.9492016,23.24350055
B_112,48555.34747,65729.75533,44955.47103,67780.66197,83126.61082,62178.07704,32312.29447,23825.57381,28594.50103,56988.69286,55880.15541,31831.64432,34057.50662,39034.94725,34291.02986,202.0478558,167.9620044
B_113,818.1487715,878.0327431,29043.73245,1848.057081,7013.414446,1847.554246,8831.812902,501.6517926,919.3079911,475.502604,778.1809681,1437.782323,289.4825276,5466.22599,1416.211566,202.1085513,121.7370034
B_114,5704.101349,8759.468051,7567.191601,8657.453963,10324.44001,10265.24989,19003.69017,2627.353037,5874.4775,7681.175568,6030.766259,6039.550882,3381.868214,4030.324353,7076.186479,203.0504326,166.525001
B_115,1807.005058,3901.781298,7149.109717,4156.944213,3725.972343,4601.989111,5049.113159,4161.564684,2905.71653,761.4489738,3832.946966,2910.868473,4946.597135,6051.97971,989.1109245,203.1107915,281.5220118
B_116,1495.758025,7216.271378,5144.801338,2772.736881,852.962972,9854.505303,4256.649265,6196.747365,1561.52268,1431.447344,2361.768531,2911.310136,2157.091251,1230.974652,422.3955894,206.0463113,144.015002
B_117,2139.520243,6180.642989,4178.28826,4485.558969,4539.170865,7583.249536,3847.705599,6515.227243,2197.791253,1102.613634,4206.816217,3992.626493,4501.836946,3579.946523,1314.35955,208.1117538,134.2469997
B_118,1028.091172,3980.169062,3792.043001,1714.659433,3150.926139,3003.0851,1161.090797,729.6771494,895.6646091,982.1416342,618.0502275,771.9579465,521.9131228,961.9114761,1300.392443,208.0912517,209.7900019
B_119,963.302019,1277.403752,1089.345687,1028.374944,1081.315841,1273.937498,1133.676979,1070.915942,1131.737698,969.074527,1115.909918,1051.477506,883.5601548,991.7014489,920.771915,208.9430654,582.7270141
B_120,527.4288706,632.3290899,512.6425767,470.4260849,568.0851859,671.8942861,608.8694392,666.2227937,665.7676183,518.3154834,529.3430142,547.2216741,572.4842091,561.7169853,557.9920665,210.9311575,583.3005254
B_121,14550.98431,13694.4871,30669.98055,27299.51512,9170.695112,24363.75834,32106.26815,25067.87965,20413.86157,6705.916554,17689.31917,15309.48272,16089.38045,41096.70288,3831.653015,211.0616706,149.5579998
B_122,488.5285663,6443.939542,1049.574433,886.4702891,1378.906,1883.23311,459.6062224,809.4399622,542.742821,252.815152,185.5143105,566.7162223,224.2572799,1060.258766,141.5973537,213.0373536,219.3085053
B_123,800.482701,930.0908477,1353.365075,1069.523576,3979.361833,4826.631149,2141.907593,4845.038661,392.2445196,303.3087964,1309.24531,782.3448873,154.6391403,370.3014409,240.402888,214.0156774,107.5099994
B_124,1431.687954,423.8991966,1752.191141,3138.046195,2243.800382,854.053491,1874.733445,925.4444934,3268.279752,433.2926071,646.8709508,953.9954664,1037.940655,3290.96217,443.1040595,214.0845862,154.1580027
B_125,2450.457879,2885.334497,2600.026579,2844.861135,2063.086456,3105.748828,2719.093113,3402.975265,2064.01876,2596.668915,2581.167677,1961.832942,1308.546898,1404.609941,1378.719753,214.9175891,573.2195
B_126,84765.68179,49325.43852,84769.82456,74518.37547,48357.39918,49574.71398,44127.53606,25481.08402,29168.16002,20037.03969,6247.95392,15760.46891,5544.659001,7976.048278,7645.208814,215.0160968,40.51499911
B_127,7410.700221,5078.306244,7483.838271,9648.786899,4949.893428,6796.389527,5086.287466,3051.053165,3206.321116,2047.419357,1870.772702,2541.246862,999.8329662,1439.656439,780.7121662,216.0225805,41.59100165
B_128,645.6714189,1292.279493,7435.620548,2792.87489,1230.39826,1694.835564,1988.628111,1333.958935,1296.846546,1537.386404,908.3851984,1045.558023,1082.316013,885.0525852,596.5927981,216.0669896,205.1320012
B_129,10316.76711,11051.21211,12664.77143,28138.64807,8739.008694,8381.528803,7861.015627,12043.13276,6368.173372,2092.945533,6699.851211,10942.50258,5544.307677,6996.61046,3641.868241,217.1274091,34.03100038
B_130,3390.457194,3978.186585,122972.0485,4152.491869,33363.29448,6183.429203,36632.16684,2372.318168,3252.245405,2641.044008,2759.640946,2253.257368,2859.503327,34415.94361,12426.63661,220.1164088,121.9124975
